CountryType,Country long name,Country,Irregular Yield Curve (Pricing Issue),Outlier Filtration,Pin Front-End,Interpolation,HistoryStart
DVL,Australia,AU,,,Y,Linear,
DVL,Canada-CA,CA,,,,Linear,
DVL,Denmark-DK,DK,,,,Linear,
DVL,Europe,AT,,,,Linear,
DVL,Europe,BE,,,,Linear,
DVL,Europe,CY,,,,Linear,
DVL,Europe,DE,,,,Linear,
DVL,Europe,EP,,,,Spline,
DVL,Europe,ES,,,,Linear,
DVL,Europe,FI,,,,Linear,
DVL,Europe,FR,,,,Linear,
DVL,Europe,GR,,,,Linear,
DVL,Europe,IE,,,,Linear,
DVL,Europe,IT,,,,Linear,
DVL,Europe,LT,,,,Linear,
DVL,Europe,MT,,,,Linear,
DVL,Europe,NL,,,,Linear,
DVL,Europe,PT,,,,Linear,
DVL,Europe,SK,,,,Linear,
DVL,Germany-DE,DE,,,,Spline,
DVL,Iceland-IS,IS,,,,Linear,
DVL,Japan-JP,JP,,,,Spline,
DVL,New Zealand-NZ,NZ,,,,Linear,
DVL,Singapore-SG,SG,,,,Linear,
DVL,Sweden-SE,SE,,,,Linear,
DVL,Switzerland-CH,CH,,,,Spline,
DVL,Taiwan-TW,TW,,,,Linear,
DVL,United Kingdom-GB,GB,,,,Spline,
DVL,United States-US,US,,,,Spline,
EM,Brazil-BR,BR,,,,Linear,
EM,Bulgaria-BG,BG,,,,Linear,
EM,Chile-CL,CL,,,,Linear,
EM,China-CN,CN,,,,Linear,
EM,Colombia-CO,CO,,,,Linear,
EM,Croatia-HR,HR,,,,Linear,
EM,Czech Republic-CZ,CZ,,,,Linear,
EM,Hong Kong-HK,HK,,,,Linear,
EM,Hungary-HU,HU,,,,Linear,
EM,India-IN,IN,,,,Linear,
EM,Indonesia-ID,ID,,,,Linear,
EM,Israel-IL,IL,,,,Linear,
EM,"Korea, Republic of-KR",KR,,,,Linear,
EM,Malaysia-MY,MY,,,,Linear,
EM,Mexico-MX,MX,,,,Linear,
EM,Norway-NO,NO,,,,Linear,
EM,Pakistan-PK,PK,,,,Linear,
EM,Philippines-PH,PH,,,,Linear,
EM,Poland-PL,PL,,,,Linear,
EM,Romania-RO,RO,,,,Linear,
EM,Russian Federation-RU,RU,,,,Linear,
EM,South Africa-ZA,ZA,,,,Linear,
EM,Thailand-TH,TH,,,,Linear,
EM,Turkey-TR,TR,,,,Linear,
EM,Ukraine-UA,UA,,,,Linear,
EM,Vietnam-VN,VN,,,,Linear,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
